Name der Klinik,Message,bewertungen,Title,Datum der Bewertung,fachbereich,Gesamtzufriedenheit,Textuell Gesamtzufriedenheit,Qualität der Beratung,Textuell Qualität der Beratung,Mediz. Behandlung,Textuell Mediz. Behandlung,Verwaltung und Abläufe,Textuell Verwaltung und Abläufe,Ausstattung und Gestaltung,Textuell Ausstattung und Gestaltung,Pro,Kontra,Krankheitsbild,Privatpatient,Erfahrungsbericht,Nutzername,Berichtet als,Behandlungsjahr,Daumen
DRK-Clementinenhaus,,172 Bewertungen,Sehr gut,07.01.2020,Chirurgie,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,4,zufrieden,6,sehr zufrieden,Freundlichkeit und Respekt,Die Reinigung des Zimmers und Bad hat am Wochenende zu wünschen übrig gelassen,,nein,"Ich habe mich sehr gut aufgehoben gefühlt, die Ärzte haben sich Zeit für Erklärungen und Beantwortung aller Fragen genommen. Die Schwestern und Pfleger sind außerordentlich freundlich und sehr hilfsbereit.",Steffi888,berichtet als Patient,Jahr der Behandlung: 2019 u. 20,Daumen hoch
Krankenhaus der evangelisch-lutherischen Diakonissenanstalt Marienstift,Diese Bewertung geht nicht in die Gesamtbewertung ein,44 Bewertungen,"Eben Ezer 2, jederzeit wieder",15.04.2013,Frauen,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,Kein Info,Kein Info,"Kompetentes, freundliches Personal",,Gebärmutterentfernung,nein,"Ich war im März dort, weil meine Gebärmutter entfernt werden musste. Mittels Längsschnitt ( Reissverschluss ).Die Aufnahme im Haus u. auf der Station war sehr nett . Die vorherige Untersuchung , die Op -u. Narkosebesprechung war persönlich u. einfühlsam .Man ist sehr verständnisvoll mit meiner Angst vor der OP umgegangen!Auch nach der OP ,die gut verlaufen ist, fühlte ich mich dort bestens ver -u. umsorgt !Das 2-Bett Zimmer hatte kaum Krankenhauscharakter. Das Essen ist sehr abwechslungsreich u. schmackhaft. Es hat an nichts gefehlt ! Die Schwestern sind unheimlich nett u. einfühlsam.Ich kann die Eben Ezer 2 nur empfehlen ! Jederzeit wieder !",Anjouli,berichtet als Patient,Jahr der Behandlung: 2013,Daumen hoch
Klinik Fallingbostel,,125 Bewertungen,Bitte überdenken Sie Ihre Kritikpunkte,27.07.2018,Lungenheilkunde,6,"sehr zufrieden (Meine Therapieziele wurden zwar nicht alle erfüllt, jedoch bin ich Ihnen deutlich näher gekommen)",6,sehr zufrieden (Mit Ausnahme der ärztlichen Beratung),2,"weniger zufrieden (Fehlende Kommunikation, verwirrende und vergessene Anordnungen, wenig Rücksicht auf den Patienten)",6,"sehr zufrieden (Hohe Kompetenz, hohe Hilfsbereitschaft)",4,"zufrieden (Das liegt jedoch mehr am eigenen Geschmack, denn an der Qualität oder Sauberkeit der Ausstattung)","Freundlichkeit, therapeutische Vielfalt, therapeutische Qualität, Ansprechbarkeit, Interesse am Patienten, Einhaltung hoher Standards in allen Bereichen (Therapie, Pflege, Speisenversorgung, Reinigung, Sozialbetreuung), Hilfsbereitschaft","Medizinische Betreuung im Einzelnen, Sprachbarrieren",Lungenteilresektion nach Pleuraemphysem,nein,Mal im Allgemeinen:,DLK88,berichtet als Patient,Jahr der Behandlung: 2018,Daumen hoch
HELIOS Klinik Cuxhaven,,64 Bewertungen,Bei Unfall lieber woanders hin,21.06.2016,Unfallchirurgie,0,unzufrieden (absolut unmöglich),0,unzufrieden (keine Beratung stattgefunden),0,unzufrieden (keine wirkliche Behandlung stattgefunden),0,unzufrieden,4,zufrieden,"
",-Behandlung  - Wahrnehmung durch Pflegekräfte - Medikamente,Unfall,nein,"Nach einem Unfall saß ich mit einem ausgerenkten Kiefer, Schleudertrauma und angebrochener Nase 3 Stunden dort, ohne dass ich Schmerzmittel bekam oder mir irgendjemand sagen konnte, wie es weiter geht. Als ich dann dran war, wurde gesagt, es sei alles ok. Ich bekam Salbe und lächerliche Schmerzmittel und sollte am nächsten Tag nach Reinekenheide fahren. Man wollte mich nichtmal krank schreiben. Die Ärzte dort haben nur den Kopf geschüttelt.  Die hätten mich nicht ohne Behandlung nach Hause schicken dürfen. Ich hatte die ganze Nacht Schmerzen und wusste nicht, was los ist. In Reinekenheide wurde ich endlich vernünftig behandelt.",Dani95,berichtet als Patient,Jahr der Behandlung: 2015,Daumen runter
Krankenhaus Lindenbrunn,Diese Bewertung geht nicht in die Gesamtbewertung ein,28 Bewertungen,Gerne wieder!,15.12.2012,Neurologie,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,Kein Info,Kein Info,Therapien,,Apoplex,nein,Leider hat meine Frau einen Schlaganfall erlitten. Ich als ihr Mann und ihr behandelnder Arzt habe ganz auf den guten Ruf des Krankenhaus Lindenbrunn vertraut. ,Nico123,berichtet als Arzt oder Einweiser,Jahr der Behandlung: 2012,Daumen hoch
KRH Klinikum Großburgwedel,,61 Bewertungen,Fehldiagnose,19.05.2016,Chirurgie,0,unzufrieden,2,weniger zufrieden,4,zufrieden,4,zufrieden,0,unzufrieden,"
",unfreundlicher Pfleger,Beckenbruch,nein,In der Notaufnahme wurde nicht gründlich genug untersucht und alte und blinde Schmerzpatienten fehlbehandelt.,Else-Gret,berichtet als Angehöriger eines Patienten,Jahr der Behandlung: 2016,Daumen runter
Asklepios Fachklinikum Göttingen,,62 Bewertungen,Keiner ist umsonst hier!!,24.02.2016,Psychiatrie,6,sehr zufrieden,4,zufrieden,4,zufrieden,6,sehr zufrieden,4,zufrieden,Fast alles,Freizeitgestalltung,"Angst,Trauma, Dissoziation",nein,"Hallo, also ich war schon 2 mal hier und kann manche Beurteilungen einfach nicht nachvollziehen. ",Ellbo,berichtet als Patient,Jahr der Behandlung: 2015,Daumen hoch
KRH Klinikum Lehrte,Diese Bewertung geht nicht in die Gesamtbewertung ein,35 Bewertungen,Das war ja das Letzte !,22.09.2009,Orthopädie,0,unzufrieden,0,unzufrieden,0,unzufrieden,2,weniger zufrieden,Kein Info,Kein Info,"Lange überlegt, aber leider nichts gefunden",Im Grunde alles,nein,,"Nach einem Treppensturz wurde ich dort wegen akuten Rückenschmerzen eingeliefert. Zum Glück war es nur ien eprellung, jedoch mit höllischen Schmerzen. Der Treppensturz wurde verursacht, weil wieder mal mein Bein einen Aussetzer hatt. Ich wurde vor 5 Jahren wegen Arnold-Chiari operiert und seid einem halben Jahr sind die Symthome wieder da. Zu der Zeit meiner Einweisung hatte ich dann auch noh einen Sehnenscheid-Entzündung. Ich war 6 Tage dort. Während dieser Zeit hat man mich mit Schmerzmitteln so voll gestopft täglich, daß ich oft gar nicht wusste, wer da jetzt zu Besuch kommt. ich brauchte manchmal Minuten um meine Frau zu erkennen. Am vorletzten Abend, bekam ich dann zu den ganzen Pillen noch ein Schmerzpflaster, welches hohe Dosen an Schmerzmitteln in einem Zyklus abgibt. Das war dann zuviel. Ich habe mich von abends bis zum nächsten Mittag nur noch übergeben. Weder die Nachtschwester noch eine Krankenschwester am Morgen oder Mittag kam auf die Idee mit etwas gegen Übelkeit zu geben. Hier musste ich dann selber darum bitten. Auch der Verband meiner Arschiene wurde nur gewechselt, weil ich selber darum gebeten habe. Angesehen hat sich das aber weder ein Arzt noch eine Krankenschwester. Das Essen war leider auch recht ""bescheiden"" Wirklich geschmeckt hat mir das Essen an keinem einzigen Tag. Es war auch leider zu wenig um satt zu werden. Grössere Portionen um die ich bat bekam ich dann am vierten Tag. Allerdings nur morgens. Mittags und abends blieb es bei der spärlichen Ration. ",HoppTopp,berichtet als Patient,Jahr der Behandlung: 2009,Kein Info
HEH Herzogin Elisabeth Hospital,,82 Bewertungen,Knie-OP im Ambulanten OP-Zentrum,12.06.2018,Orthopädie,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,Empathie und Kompetenz,Fällt mir nichts ein,V.a. erneuten Kreuzbandriss und Materialentfernung,nein,Heute war ich für eine ambulante OP im AOZ des HEH (Materialentfernung einer Metallplatte und Arthroskopie bei V.a. erneute Kreuzband-Ruptur). Mittlerweile die 7. OP meines rechten Knies. ,H.Stamm,berichtet als Patient,Jahr der Behandlung: 2018,Daumen hoch
DIAKOVERE Annastift,,83 Bewertungen,Einfach super zufrieden / sehr zu empfehlen !,31.05.2017,Orthopädie,6,sehr zufrieden (Alles super nichts zu meckern),6,sehr zufrieden (Einfach alles geklärt auch bei mehreren Nachfragen),6,sehr zufrieden (Besser geht nicht),6,sehr zufrieden (Top nett und super Service),4,zufrieden (Toilette auf dem Flur ist nicht schön von der Entfernung),Top Ärzte sowie Schwestern Pfleger und alle in der Aufnahme usw,Toiletten auf dem Flur ist nicht so schön,Schulter links / siehe Bericht,nein,"Bin am 9.5.2017 an der linken Schulter operiert worden, von prof Doktor Wellmann. Ich bin zu 100 % zufrieden, Und konnte sofort nach der OP meinen Arm schon wieder bewegen, und hatte keine Schmerzen. Schulterdach  geglättet, Bizepssehne neu angenäht, Knochensporn entfernt, Schleimbeutel entfernt, Anker gesetzt, usw. ",Koppe,berichtet als Patient,Jahr der Behandlung: 2017,Daumen hoch
DIAKOVERE Friederikenstift,,93 Bewertungen,Schlecht organisieret,05.12.2017,Urologie,2,weniger zufrieden,2,weniger zufrieden,4,zufrieden,0,unzufrieden,2,weniger zufrieden,Nette und hilfsbereite Schwestern,,Niren Stein,nein,"Lange Wartezeit der Patienten Aufnahme. Schlechte organisiert in Ablauf und Rückmeldung. Für ein 4 Minuten Gespräch mußte ich am nächsten Tag wieder kommen.Nach 12 tagen noch kein Ergebnis des Niren Steins, 4 x Angerufen und keiner weiß Bescheid.",T.wa,berichtet als Patient,Jahr der Behandlung: 2017,Daumen runter
Sophienklinik GmbH,Diese Bewertung geht nicht in die Gesamtbewertung ein,45 Bewertungen,Fachlich top,02.07.2012,Orthopädie,6,sehr zufrieden,4,zufrieden,6,sehr zufrieden,4,zufrieden,Kein Info,Kein Info,Akutschmerztherapie,Veraltetes Gebäude,nein,,"Ich war zur Schulter-OP einige Tage dort und war hoch zufrieden. Sehr professionelle OP-Vorbereitung, durchweg freundliches und kompetentes Personal, sehr gute Akutschmerztherapie nach der OP, Krankengymnastik auch am Wochenende. Sicher ist die Ausstattung nicht mehr zeitgemäß, aber das macht die medizinische Seite durchaus wieder wett. Essen ist in Ordnung. Miete für Telefon und Fernsehen ist recht hoch. Die Cafeteria ist klein aber fein. Die Toiletten sind zwar nicht im Zimmer, aber sauber. Alles in allem würde ich mich jederzeit wieder in der Sophienklinik operieren lassen, da ich mich medizinisch jederzeit sehr gut betreut gefühlt habe und das schätze ich sehr viel höher ein, als Komfort auf den Zimmern.",marleen1197,berichtet als Patient,Jahr der Behandlung: 2012,Daumen hoch
Klinikum Emden,,52 Bewertungen,Profitsucht Krankheitsbild Krankenhäuser,27.01.2016,Orthopädie,0,unzufrieden,4,zufrieden,4,zufrieden,0,unzufrieden,2,weniger zufrieden,Gut dass man nicht da wohnen muss,Schlecht dass man hilflos ausgeliefert ist.,,nein,"Mein Vater wurde als 80-jähriger im Januar 2016 wegen einer Op eingeliefert. 2Höllennächte, obwohl gleich zu Beginn ein 2Bett Zimmer bestellt wurde. Da nichts frei war, musste er die erste Nacht in einem Dreibettzimmer mit Dauerbesuch und dröhnendem TV verbringen. Rücksichtslose Menschen gibt's ja nicht nur im Krankenhaus. Wir bestanden nun noch einmal auf eine Verlegung, die keine unerheblichen Kosten verursacht. Es gab weder Ein- noch Zweibettzimmer. Die zweite Nacht nach der Op war dann erst recht die Hölle. Ein wohl leicht verwirrter Mitpatiient stellte sich nachts rauchend ans Fenster und und und... Dann setzten wir eine Beschwerde ab und wundern uns eigentlich nicht: denn: Restebetten mit schwierigen, egoistischen Patienten werden an Privatpatienten garantiert nicht vermittelt. Obwohl mein Vater bereit ist für eine hohe Zuzahlung, gab es kein der Op und den Umständen geschuldetes, angemessen ruhiges Zimmer. Die bestellte Verpflegung wurde ebenfalls ignoriert. Die Bewertung und Beschwerden über dieses Krankenhaus sagt/en ja alles. Profit ist alles. Ein Wirtschaftszweig, der zu Lasten von Patienten funktioniert oder eben nicht. Personalschlüssel, Bezahlung, Hygiene, Keime, Menschen erster/zweiter Klasse: alles Horror und mafiöse Zustände. Wenn man Berichte und Fakten von leitenden Angestellten aus Kliniken (Interna!!!) hört, sollte man an der kurzen Leine ständig einen Anwalt bei sich führen, in der Hoffnung, dass Anwalt und Leitende nicht zusammen 'Golf spielen'. Luft gemacht. Gut so. Gute Besserung wünsch ich vor allem der Profitsucht des Krankenhausgeschäfts.",kopfsalat,berichtet als Angehöriger eines Patienten,Jahr der Behandlung: 2016,Daumen runter
HELIOS Klinikum Hildesheim GmbH,,109 Bewertungen,Rausschmiss statt Diagnose,08.03.2018,Neurochirurgie,0,unzufrieden,0,unzufrieden (Visite wortkark..keine Infos),0,unzufrieden (Tabletten kann ich auch zu Hause nehmen),6,sehr zufrieden,6,sehr zufrieden,Notfallambulanz ...alles gut und schnell,Röntgen...haben alle keine Lust.. helfen nicht wenn man schmerzen hat und allein nicht auf den Tisch kommt,Lws syndrom,nein,Überhaupt nicht zu empfehlen....lag auf Station A3 mit heftigen schmerzen im gesäss und bein..dort wurden mir die Medikamente gegeben die ich auch schon seit zwei monaten zuhause genommen habe und die nicht helfen und das waren ja fünf verschiedene darunter opiade.habe mich dann beschwert weil auch niemand nach der Ursache gesucht hat und auch nichts vorgesehen war ausser Tabletten.weil ich mich beschwert habe bin ich dann von der stationsärztin gebeten worden das krankenhaus zu verlassen ...weil ich ja mit der Therapie nicht einverstanden bin und ich ihr nicht sage wie ihren Job zu machen hat...könnte auch mein Bett nicht noch vier Stunden behalten wurde gezwungen in der Halle zu warten auf einem Stuhl.. ,Hörstvonmir,berichtet als Patient,Jahr der Behandlung: 2018,Daumen runter
AGAPLESION EV. KLINIKUM SCHAUMBURG,,92 Bewertungen,Ich kann mich nicht beklagen,17.04.2019,Neurologie,4,zufrieden,4,zufrieden,4,zufrieden,4,zufrieden,4,zufrieden,freundliches Personal,kleinigkeiten,,nein,Ich bin ca. alle 3 Monate zu Gast auf der Neurologie und kann mich nicht beklagen. Das Pflegepersonal ist immer sehr zuvorkommend obwohl sie viel zu tun haben und auch die Ärzte sind gut. Das habe ich in anderen Kliniken schon ganz anders erlebt. In Vehlen fühle ich mich sehr gut aufgehoben.,mone73,berichtet als Patient,Jahr der Behandlung: 2019,Daumen hoch
Asklepios Fachklinikum Tiefenbrunn,,96 Bewertungen,Empfehlenswertes Therapiekonzept,14.09.2017,Psychiatrie,6,sehr zufrieden,6,sehr zufrieden (aufschlussreiches Informationsgespräch),4,zufrieden,4,zufrieden,2,"weniger zufrieden (alte Einrichtung, häufig Teppichboden)","Personal, Therapien, Gelände","alte Einrichtung, WLAN Zugang","Depressionen, soziale Phobie",nein,Ich befand mich für 12 Wochen auf der Birkenhaus B Station mit genannten Krankheitsbildern. ,Birke17,berichtet als Patient,Jahr der Behandlung: 2017,Daumen hoch
Ostemed Klinik Bremervörde,Diese Bewertung geht nicht in die Gesamtbewertung ein,34 Bewertungen,Kompetenz,08.08.2011,Chirurgie,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,Kein Info,Kein Info,Kompetenz,--------------------------------------------------,nein,,Die Chirurgie von  Chefarzt Dr.Franke und den ,willfra,berichtet als Patient,Jahr der Behandlung: 2011,Daumen hoch
Sana Klinikum Hameln-Pyrmont,,305 Bewertungen,Keine Chance für Schwerkranke auf der Kardiologie-Station,10.11.2019,Kardiologie,0,unzufrieden,4,zufrieden,2,weniger zufrieden (zu wenig Absprache bei wechselnden Ärzten),0,unzufrieden (keine Rückmeldung nach Verschwinden des Hörgeräts),4,zufrieden,Essenpersonal bemühte sich nach Rückmeldung,Pflegepersonal schob Verantwortung auf Angehörige ab,Lebensbedrohliche Erkrankung nach grippalem Infekt,nein,"Meine Mutter (89) war vom 24.10 bis zum 6.11. zuerst auf A1, dann auf B4.Obwohl sie laut Aussage der Ärztinnen schwerstkrank war (sie konnte sich nicht bewegen und hatte Dauerhusten), wurde sie auf der A1 ""zwischengeparkt"", weil auf der Kardiologiestation kein Platz frei war. Bei der Verlegung ging ihr Hörgerät verloren, was keinen weiter interessierte. Das Personal war unfreundlich und unmotiviert, um alles musste man bitten: wenden, inhalieren, wurde aber oft abgewiesen,auf Klingeln manchmal gar nicht reagiert, sodass wir als Familie eine fast lückenlose Pflege tagsüber selbst organisiert haben. Es wurde nicht berücksichtigt, dass meine Mutter das Wasser nicht erreichen konnte, nicht allein essen konnte und sich nicht selbst drehen bzw. später auf die Bettkante oder in einen Stuhl setzen konnte. Das Essen war in keiner Weise auf Schwerstkranke abgestimmt, nur auf Nachfrage erhielten wir teilweise pürrierte Kost. Meine Mutter wurde nicht gekämmt, das Gebiss nur selten gereinigt. Der starke Hustenreiz wurde am Sonntag auf der A1 völlig ignoriert, auf der B1 sollte sie zunächst inhallieren, eine andere Ärztin verordnete 3x am Tag Codeintropfen, die nächste dann 3x inhallieren und nur nachts Tropfen. Eine Ärztin meinte, meine Mutter habe keine Lungenentzündung, die andere war entgegengesetzter Meinung.Ich hatte das Gefühl, dass keine Absprache zwischen den wechselnden Ärzten stattfand. Bei Frost verbrachte meine Mutter nur mit einem dünnen Laken zugedeckt die Nacht bei offenem Fenster.",Lichtner2,berichtet als Angehöriger eines Patienten,Jahr der Behandlung: 2019,Daumen runter
DRK-Clementinenhaus,,172 Bewertungen,Kein Einbettzimmer möglich trotz Privatpatient!,07.01.2020,Chirurgie,0,unzufrieden,0,unzufrieden,0,unzufrieden,0,unzufrieden,0,unzufrieden (Einrichtung veraltet),Wohnort nah,Umgang mit Privatpatienten,Knie OP,ja,Es sind wohl viele hier zufrieden. Ich war es nicht. Behandlung war unzureichend und nicht zufriedenstellend! Hätte nach den Bewertungen im Internet besseres Haus erwartet.,HerrMeyermitY,berichtet als Patient,Jahr der Behandlung: 2019,Daumen runter
Krankenhaus der evangelisch-lutherischen Diakonissenanstalt Marienstift,Diese Bewertung geht nicht in die Gesamtbewertung ein,44 Bewertungen,Natürliche Geburt in dieser Klinik nicht möglich,06.04.2013,Entbindung,0,unzufrieden,2,weniger zufrieden,0,unzufrieden,2,weniger zufrieden,Kein Info,Kein Info,Nette Schwestern,Hebammen und ein Teil der Ärztinnen,Geburt,nein,Ich hatte mich auf eine natürliche Geburt vorbereitet. ,gegennatur,berichtet als Patient,Jahr der Behandlung: 2012,Daumen runter
Klinik Fallingbostel,,125 Bewertungen,Bewertung,26.07.2018,Lungenheilkunde,2,weniger zufrieden,2,weniger zufrieden,0,unzufrieden,4,zufrieden,2,weniger zufrieden,Freundlliches Personal,Siehe Bewertung,Herz,nein,"Ich bin gestern entlassen worden und man hat mir den Entlassungsbrief mitgegeben. Den habe ich voller Entsetzen gelesen .Mehr als die Hälfte des Inhaltes trifft nicht zu .Aber Gesund entlassen. Zur Klinik selbst möchte ich anmerken das das Personal sehr freundlich war, Die Assistentärtztre machen keinen Kompetenten Eindruck. Benutzung des Schwimmmbades wie Sportraum nur mit ärztlicher Genehmigung. Wochendendurlaub wird auch nicht gern gesehen.Keine Zustimmung der Klinik.Nur bedingt zu empfehlen.",Sacha4,berichtet als Patient,Jahr der Behandlung: 2018,Kein Info
HELIOS Klinik Cuxhaven,,64 Bewertungen,Mandeln raus- lieber nicht in Cuxhaven,21.06.2016,Hals-Nasen-Ohren,0,unzufrieden,2,weniger zufrieden (keine Beratung stattgefunden),0,unzufrieden,2,weniger zufrieden,4,zufrieden,überwiegend nette Schwestern,-Das Essen -die medikamentöse Versorgung  - Reaktionszeit der Schwestern auf Notfälle,Chronische Mandelentzündung,nein,"Ich bekam von meinem HNO Arzt eine Überweisung für eine Mandelop, da diese chronisch entzündet waren und ich weder Essen noch Trinken konnten. Ich bekam schnell einen Termin. Allerdings fand keine wirkliche Voruntersuchung statt. Deshalb wusste der Anästhesist auch nichts von meinen Medikamenten und dosierte die Narkose zu schwach.",Dani95,berichtet als Patient,Jahr der Behandlung: 2014,Daumen runter
Krankenhaus Lindenbrunn,Diese Bewertung geht nicht in die Gesamtbewertung ein,28 Bewertungen,Wehe man ist noch klar im Kopf,14.12.2012,Geriatrie,2,weniger zufrieden,2,weniger zufrieden,2,weniger zufrieden,2,weniger zufrieden,Kein Info,Kein Info,Nette Aufmachung der Klinik mit Außenbereich und den ein(e) oder andere(n) netten Pfleger(in),Würde mir nicht alles reinpassen !,Kam nach Gehirnblutung,nein,"Es ist ein Wunder das meine Mutter noch lebt. Für hilflose Personen der absolute Horror. Es sind ja nicht alle alten Menschen schon wirr im Kopf. Das Personal ist phasenweise sehr genervt und macht die alten Leute an. Es wird nicht auf Flüssigkeitszufuhr geachtet. Wenn nach der Toilette geklingelt wird dauert es ewig (1/2 Stunde keine Seltenheit ) bis einer kommt, auch wenn das Personal auf dem Flur steht und privat quatscht. Hinterher Beleidigungen und Einschüchterungen weil sie es natürlich nicht so lange einhalten konnten. Eine sehr von sich eingenommene Ärztin die den alten Leuten das Wort im Mund rumdreht. Mir haben die alten Leute leid getan die keine Verwandten oder nur sehr selten Besuch hatten. Wie in einer Leichenhalle.",Unruh,berichtet als Angehöriger eines Patienten,Jahr der Behandlung: 2012,Daumen runter
KRH Klinikum Großburgwedel,,61 Bewertungen,Sehr gutes Krankenhaus,10.05.2016,Chirurgie,6,sehr zufrieden,6,sehr zufrieden,4,zufrieden,6,sehr zufrieden,4,zufrieden,Pfleger und Ärzte sehr kompetent und freundlich,,Leistenbruch,nein,Ich war gestern zur Leistenbruch Op und ich hatte auf Grund der guten Erfahrungen anderer in meiner Familie dieses Krankenhaus gewählt.Ich bin wirklich sehr zufrieden mit dem Ablauf der Operation der Vorbereitung und der Nachbetreuung.Ärzte und Pfleger alle super freundlich wenn man sagt das man schmerzen hat bekommt man sofort ein schmerzmittel der ganze Organisatorische Ablauf bis hin zur Entlassung hat super geklappt musste nicht ewig auf den Brief warten .Zimmer und Toiletten waren super sauber .Ich kann dieses Krankenhaus nur weiterempfehlen.,Enrico5,berichtet als Patient,Jahr der Behandlung: 2016,Daumen hoch
Asklepios Fachklinikum Göttingen,,62 Bewertungen,"Vor Suizid geschützt, vor Gewalt anderer Bewohner nicht",02.01.2016,Psychiatrie,0,unzufrieden,2,weniger zufrieden,0,unzufrieden,2,weniger zufrieden,0,unzufrieden,"Zimmerwechsel ermöglicht, wenn Platz vorhanden, Essen, Kaffee",Alles andere,"Depression, Suizidversuch",nein,"Abteilung 12, Psychiatrie, geschlossen, eine durchgehende Katastrophe! Ich wurde nach Suizidversuch als suizidgefährdet dort ausgesetzt/eingesperrt, um mich vor einem weiteren Suizidversuch zu schützen. Männlein (insgesamt 2 WCs) und Weiblein (insgesamt 2 WCs) werden zusammen ""gehalten"". Ein friedlicher Mann wurde von einem deutlich sichtbar aggressiven Mann verprügelt, TV-Raum praktisch 24h von Moslems belagert, ich wurde mehrmals von aggressiven Männern belästigt; als ich meine Sorge beim Personal äußerte, sagte man mir, dass man MICH nicht 24h bewachen könne. Duschen beide stark verkalkt, Hygiene in den Zimmern lässt sehr zu wünschen. Da ich nicht wusste, wann ich da wieder rauskommen würde, habe ich einen weiteren Suizidversuch mit Glasscherben einer Glühbirne gestartet, hat aber wieder nicht funktioniert .....",Ausgeliefert,berichtet als Patient,Jahr der Behandlung: 2015,Daumen runter
HEH Herzogin Elisabeth Hospital,,82 Bewertungen,Guter Eindruck von Ärzteteam und Pflegepersonal,03.03.2018,Gefäßchirurgie,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,"
",,Aortenaneurysma,nein,Bezüglich eines gefäßchirurgischen Eingriffs war ich im Frühjahr 2018 im HEH und bin bis heute mehr als zufrieden. Vielen Dank an das Ärzteteam der dortigen Gefäßchirurgie sowie das Pflegepersonal - die Behandlung und Betreuung habe ich als sehr angenehm wahrgenommen.,W.Boczula,berichtet als Patient,Jahr der Behandlung: 2018,Daumen hoch
DIAKOVERE Annastift,,83 Bewertungen,"Kinderkrankenschwester (68), 40 Jahre Berufsleben hinter sich",13.05.2017,Orthopädie,4,zufrieden,6,sehr zufrieden (durch den Arzt(Anäthesie und Orthopädie)und Physioth.),6,sehr zufrieden,4,zufrieden ((Röntgentermine besser planen)),4,zufrieden,Physiotherapeutenteam,Umgang mit dem Pat. durch das weibl. Pfegepersonal,Knie-Total-Endoprothese bds.,nein,"betr. Ärztliches Personal: Knie Total Endoprothese Jan.2017(re.mit extremer X-Beinstellung) und Mai 2017 (li. mit großer Anzahl freier Gelenkkörper, bekannt seit 1978, damals konnte wegen dem OP-Risiko nur ein Teil entfernt werden).Beide OP""s sehr gut verlaufen.                                       betr. Pflegerisches Personal: im Jan. stat. auf St.3, fühlte mich dort umsorgter, netterer Umgangston! im Mai auf St.4:dort fühlte ich mich, durch einzelne Schwester, sehr früh zur Selbständigkeit gezwungen!!!(ein gravierendes Beispiel:am 2.post.OP-tag sollte ich(um 6.30Uhr) den Gehwagen zum Toilettengang benutzen,ich weigerte mich,(da ich noch unter dem Einfluß des Schmerzkatherter stand und ich davon ausgehen konnte, das das li.Bein mich noch nicht trägt).Mein Wunsch den Toilettenstuhl zu benutzen(damit hatte ich bereits gute Erfahrungen gesammelt) wurde verweigert, da verboten, mir blieb nur der ""Schieber"". Gegen 11 Uhr bin ich mit der Physiotherapeutin auf gestanden und mit dem Gehwagen unter Aufsicht gelaufen. Danach habe ich das Pfegepersonal nicht mehr beansprucht.Übrigens wurde der Toilettenstuhl(verbotener?Weise)vor meinen Augen bei anderen Pat. mit Erfolg eingesetzt.",marlis-hanna,berichtet als Patient,Jahr der Behandlung: 2017,Daumen hoch
DIAKOVERE Friederikenstift,,93 Bewertungen,Schönes Erlebnis,29.11.2017,Entbindung,4,zufrieden,6,sehr zufrieden,6,sehr zufrieden,4,zufrieden,2,weniger zufrieden,Professionalität,Zimmerausstattung auf der Wochenstation,Geburt,nein,Ich habe mich zu jedem Zeitpunkt gut betreut und nie allein gelasden gefühlt. Sowohl im Kreißsaal als auch auf der Wochenstation habe ich sehr einfühlsame und hilfsbereite Miterabeiterinnen kennengelernt. DANKE DAFÜR!,Dan3,berichtet als Patient,Jahr der Behandlung: 17,Daumen hoch
Sophienklinik GmbH,Diese Bewertung geht nicht in die Gesamtbewertung ein,45 Bewertungen,gut geschultes Personal,24.06.2012,Chirurgie,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,2,weniger zufrieden,Kein Info,Kein Info,fachlich gut,"alte Bettgestelle,schlechte Handhabung nach OP",nein,,-sehr freundliches und komptentes Personal ,Monty16,berichtet als Patient,Jahr der Behandlung: 2012,Daumen hoch
Klinikum Emden,,52 Bewertungen,SEHR ZUFRIEDENER PATIENT,13.01.2016,Orthopädie,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,ÄRZTE UND PERSONAL HABEN IMMER EIN OFFENES OHR,,2014 Bandscheiben OP 2015 Knie TEP,nein,SEHR GUTE AUFKLÄRUNG DIE VORBEREITUNG SOWIE OPERATION UND NACHBEHANDLUNG IST SEHR ZUFRIEDENSTELLEND ,DIRK8,berichtet als Patient,"Jahr der Behandlung: 14,15",Daumen hoch
HELIOS Klinikum Hildesheim GmbH,,109 Bewertungen,Habe Gottseidank woanders entbunden.,21.02.2018,Entbindung,0,unzufrieden,0,unzufrieden,0,unzufrieden,0,unzufrieden,0,unzufrieden,nichts,alles! Schlecht geführter Betrieb,Geburtsvorbereitung,ja,"Eine Klinik wie aus dem Bilderbuch - so schien es am ""Tag der offenen Tür"" mit Begehung des Kreißsaals. ",jetztmama,berichtet als Patient,Jahr der Behandlung: 2017,Daumen runter
